Наименование;Цена;Напряжение, В;Бренд;Диаметр;Высота;Цвет арматуры;Цвет плафонов;Количество ламп;Мощность, Вт;Общая мощность, Вт;Стиль;Цоколь
Люстра Lightstar 700150 - 170768;79000;220;Lightstar;600;650;хром;прозрачный;15;60;900;классика;E14
Люстра Mantra 6312 - 137339;54070;220;Mantra;1000;635;хром;белый;8;20;160;арт-деко;E14
Люстра Osgona 702082 - 646;38000;220;Osgona;750;1700;золото;белый;8;60;480;арт-деко;E14
Люстра Lightstar 744157 - 244892;24000;220;Lightstar;450;900;черный;черный;5;40;200;классика;E14
Люстра Lightstar 816043 - 180533;8900;220;Lightstar;400;770;латунь;белый;8;40;320;арт-деко;G9
Люстра Lightstar 751246 - 677;57000;220;Lightstar;1050;750;белый;белый;24;20;480;модерн;G4
Люстра Lightstar 751186 - 674;48000;220;Lightstar;900;700;белый;прозрачный;18;20;280;модерн;G4
Люстра ST Luce SL948.303.01 - 59517;3950;220;ST Luce;250;900;медь;черный;6;40;30;хай-тек;LED
Люстра ST Luce SLE200.502.01D - 80712;950;220;ST Luce;350;90;белый;белый;1;20;15;модерн;LED
Люстра Lightstar 751244 - 676;57000;220;Lightstar;1050;750;хром;белый;24;20;320;модерн;G4
Люстра Lightstar 751184 - 673;48000;220;Lightstar;900;700;хром;белый;18;20;480;модерн;G4
Люстра Ideal Lux 138305 - 45419;24900;220;Ideal Lux;250;420;хром;хром;5;60;30;хай-тек;E27
Люстра Lightstar 725263 - 244899;25000;220;Lightstar;350;650;золото;золото;6;40;240;арт-деко;E14
Люстра Ideal Lux 101156 - 24220;18500;220;Ideal Lux;1050;300;хром;черный;5;60;320;модерн;E27
Люстра Odeon Light  4925/9 - 208175;33340;220;Odeon Light;600;300;золото;прозрачный;9;40;360;арт-деко;E14
Люстра Lightstar 751024 - 10872;39000;220;Lightstar;750;600;хром;хром;12;20;30;модерн;G4
Люстра Odeon Light  4871/5C - 208067;20170;220;Odeon Light;350;210;хром;прозрачный;5;40;200;модерн;E14
Люстра Odeon Light  4974/6 - 208253;18700;220;Odeon Light;480;1425;золото;прозрачный;6;40;240;модерн;E14
Люстра Odeon Light  4923/12 - 208168;15280;220;Odeon Light;800;1500;хром;прозрачный;12;40;480;модерн;E14
Люстра Ideal Lux 088068 - 20867;19900;220;Ideal Lux;700;800;золото;белый;6;40;30;модерн;E14
Люстра Ideal Lux 082059 - 20791;14900;220;Ideal Lux;800;600;хром;белый;9;40;200;хай-тек;E14
Люстра Odeon Light  4971/8 - 208243;12030;220;Odeon Light;757;700;черный;прозрачный;8;40;320;лофт;E27
Люстра Odeon Light  4973/6 - 208250;17570;220;Odeon Light;480;1425;хром;прозрачный;6;40;240;модерн;E14
Люстра Odeon Light  4923/10A - 208167;11940;220;Odeon Light;500;1500;хром;прозрачный;10;40;400;модерн;E14
Люстра Favourite 2735-16P - 190404;27000;220;Favourite;700;540;золото;прозрачный;16;40;640;классика;E14
Люстра MW-Light 447010612 - 51832;39790;220;MW-Light;600;920;золото;прозрачный;12;40;480;классика;E14
Люстра Odeon Light  4974/5C - 208252;15130;220;Odeon Light;410;300;золото;прозрачный;5;40;200;модерн;E14
Люстра Reccagni Angelo L. 3831/5 - 1919;29990;220;Reccagni Angelo;600;340;бронза;белый;5;60;300;классика;E27
Люстра Lightstar 816044 - 180534;19000;220;Lightstar;510;850;хром;прозрачный;4;40;160;арт-деко;E14
Люстра Lightstar 725143 - 244897;19000;220;Lightstar;500;600;золото;золото;4;40;160;арт-деко;E14
Люстра Ideal Lux 012872 - 20562;19800;220;Ideal Lux;640;450;бежевый;белый;8;40;300;классика;E14
Люстра Odeon Light  4973/5C - 208249;13590;220;Odeon Light;410;300;хром;прозрачный;5;40;200;модерн;E14
Люстра De Markt 631018201 - 270074;34980;220;De Markt;800;1500;хром;прозрачный;1;65;65;хай-тек;LED
Люстра MW-Light 345010814 - 59832;59690;220;MW-Light;620;680;хром;прозрачный;14;40;560;модерн;E14
Люстра ST Luce SL909.102.06 - 37024;5900;220;ST Luce;430;100;белый;белый;1;103;60;хай-тек;LED
Люстра Lightstar 815410 - 243232;48000;220;Lightstar;900;800;черный;прозрачный;12;28;336;арт-деко;E14
Люстра Odeon Light  4923/7 - 208170;7710;220;Odeon Light;500;1500;хром;прозрачный;7;40;280;модерн;E14
Люстра Lightstar 723125 - 243217;34000;220;Lightstar;850;750;никель;белый;12;40;480;модерн;E14
Люстра Odeon Light  4982/12 - 208271;10480;220;Odeon Light;650;1500;хром;прозрачный;12;40;480;модерн;E14
Люстра ST Luce SLE200.502.01D - 80712;950;220;ST Luce;350;90;белый;белый;1;40;15;модерн;LED
Люстра Mantra 6312 - 137339;54070;220;Mantra;1000;635;хром;белый;8;20;160;арт-деко;E14
Люстра Osgona 702082 - 646;38000;220;Osgona;750;1700;золото;белый;8;60;480;арт-деко;E14
Люстра Ideal Lux 088020 - 16274;29900;220;Ideal Lux;650;400;золото;золото;12;40;280;модерн;G9
Люстра Lightstar 700150 - 170768;79000;220;Lightstar;600;650;хром;прозрачный;15;60;900;классика;E14
Люстра Lightstar 816043 - 180533;8900;220;Lightstar;400;770;латунь;белый;8;40;320;арт-деко;G9
Люстра Lightstar 751246 - 677;57000;220;Lightstar;1050;750;белый;белый;24;20;480;модерн;G4
Люстра Odeon Light  4871/7C - 208069;23860;220;Odeon Light;650;225;хром;прозрачный;7;40;280;модерн;E14
Люстра Lightstar 751244 - 676;57000;220;Lightstar;1050;750;хром;белый;24;20;320;модерн;G4
Люстра Lightstar 751184 - 673;48000;220;Lightstar;900;700;хром;белый;18;20;480;модерн;G4
Люстра Lightstar 751186 - 674;48000;220;Lightstar;900;700;белый;прозрачный;18;20;280;модерн;G4
Люстра Lightstar 744157 - 244892;24000;220;Lightstar;450;900;черный;черный;5;40;200;классика;E14
Люстра ST Luce SL948.303.01 - 59517;3950;220;ST Luce;250;750;медь;черный;6;20;30;хай-тек;LED
Люстра Ideal Lux 088068 - 20867;19900;220;Ideal Lux;700;800;золото;белый;6;40;480;модерн;E14
Люстра MW-Light 185010913 - 92272;39250;220;MW-Light;610;900;золото;разноцветный;13;40;520;модерн;E14
Люстра Ideal Lux 066431 - 8981;28700;220;Ideal Lux;1020;750;хром;белый;12;40;200;модерн;E14
Люстра Ideal Lux 138305 - 45419;24900;220;Ideal Lux;250;420;хром;хром;5;60;30;хай-тек;E27
